          14          14
 Orbital #:     1
 -0.164430038109935      -0.218029008797715      -0.359387138804787     
 -0.304194011616137      -0.359387138804786      -0.218029008797714     
 -0.164430038109936      -0.164430038109936      -0.218029008797715     
 -0.359387138804787      -0.304194011616138      -0.359387138804788     
 -0.218029008797716      -0.164430038109937     
 Orbital #:     2
 -0.307217885002229      -0.290169733702143      -0.267242767494247     
 -3.338209162124285E-016  0.267242767494245       0.290169733702142     
  0.307217885002227      -0.307217885002230      -0.290169733702146     
 -0.267242767494247       3.796820075433145E-016  0.267242767494248     
  0.290169733702146       0.307217885002230     
 Orbital #:     3
 -0.128713584581505      -0.280314809941896      -0.277915296325717     
 -0.394003828762121      -0.277915296325716      -0.280314809941898     
 -0.128713584581507       0.128713584582918       0.280314809942504     
  0.277915296325064       0.394003828761262       0.277915296325065     
  0.280314809942503       0.128713584582916     
 Orbital #:     4
 -0.397503059216930      -0.170864734096530       0.183182094901537     
  0.241830025690730       0.183182094901533      -0.170864734096533     
 -0.397503059216929      -0.397503059216475      -0.170864734095539     
  0.183182094902523       0.241830025692130       0.183182094902521     
 -0.170864734095537      -0.397503059216472     
 Orbital #:     5
 -0.221926951826713      -0.407170243947091      -0.186978128391992     
  5.315286215088744E-016  0.186978128391993       0.407170243947091     
  0.221926951826711       0.221926951826721       0.407170243947089     
  0.186978128391978       9.221665497781285E-016 -0.186978128391976     
 -0.407170243947088      -0.221926951826722     
 Orbital #:     6
  0.326137393114714       3.730695282954314E-003 -0.378972931388302     
  2.179483272077945E-015  0.378972931388304      -3.730695282954417E-003
 -0.326137393114715       0.326137393114706       3.730695282938389E-003
 -0.378972931388311       1.322780335326487E-016  0.378972931388311     
 -3.730695282940370E-003 -0.326137393114708     
 Orbital #:     7
 -0.219970210766201      -0.307720979609849       0.100241172366364     
  0.440164997349960       0.100241172366364      -0.307720979609850     
 -0.219970210766200       0.219970210766199       0.307720979609849     
 -0.100241172366364      -0.440164997349960      -0.100241172366364     
  0.307720979609849       0.219970210766199     
 Orbital #:     8
 -0.219970210766200       0.307720979609850       0.100241172366363     
 -0.440164997349959       0.100241172366363       0.307720979609850     
 -0.219970210766200      -0.219970210766200       0.307720979609850     
  0.100241172366363      -0.440164997349960       0.100241172366364     
  0.307720979609850      -0.219970210766200     
 Orbital #:     9
 -0.326137393114717       3.730695282955636E-003  0.378972931388304     
 -1.106102588185485E-015 -0.378972931388303      -3.730695282955958E-003
  0.326137393114716       0.326137393114708      -3.730695282939771E-003
 -0.378972931388310       2.825012055817186E-016  0.378972931388310     
  3.730695282937456E-003 -0.326137393114705     
 Orbital #:    10
  0.221926951826709      -0.407170243947090       0.186978128391993     
 -2.085255310312254E-015 -0.186978128391991       0.407170243947089     
 -0.221926951826710       0.221926951826725      -0.407170243947091     
  0.186978128391978      -7.854191984429844E-016 -0.186978128391977     
  0.407170243947090      -0.221926951826723     
 Orbital #:    11
  0.397503059216741      -0.170864734096121      -0.183182094901943     
  0.241830025691313      -0.183182094901947      -0.170864734096117     
  0.397503059216740      -0.397503059216663       0.170864734095952     
  0.183182094902109      -0.241830025691547       0.183182094902111     
  0.170864734095952      -0.397503059216663     
 Orbital #:    12
 -0.128713584582092       0.280314809942148      -0.277915296325443     
  0.394003828761764      -0.277915296325445       0.280314809942149     
 -0.128713584582092      -0.128713584582329       0.280314809942250     
 -0.277915296325338       0.394003828761622      -0.277915296325338     
  0.280314809942253      -0.128713584582331     
 Orbital #:    13
  0.307217885002228      -0.290169733702144       0.267242767494249     
 -1.014813233446432E-015 -0.267242767494247       0.290169733702145     
 -0.307217885002231      -0.307217885002227       0.290169733702143     
 -0.267242767494248       1.462371890248448E-015  0.267242767494245     
 -0.290169733702143       0.307217885002230     
 Orbital #:    14
 -0.164430038109934       0.218029008797715      -0.359387138804789     
  0.304194011616141      -0.359387138804789       0.218029008797715     
 -0.164430038109936       0.164430038109934      -0.218029008797714     
  0.359387138804787      -0.304194011616137       0.359387138804786     
 -0.218029008797714       0.164430038109935     
