 ****  Molecular Integrals For CheMPS Start Here 
 Symmetry Label = ci 
 Nirreps = 2 
 Nuclear Repulsion Energy = 125.7780076248893124 
 Number Of Molecular Orbitals = 8 
 Irreps Of Molecular Orbitals = 
 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
 ...
 ...
 ****  MO OEI
 2 2 3 3 5.0677317259
 3 3 3 1 0.5926282379
 3 3 3 1 0.5926282379
 3 3 1 3 0.5926282379
 3 3 1 3 0.5926282379
 3 1 3 3 0.5926282379
 3 1 3 3 0.5926282379
 1 3 3 3 0.5926282379
 1 3 3 3 0.5926282379
 3 3 3 3 5.4733368044
 4 0 0 0 0.0330502600
 0 4 0 0 0.0330502600
 4 0 0 0 0.0330502600
 0 4 0 0 0.0330502600
 0 0 4 0 0.0330502600
 0 0 0 4 0.0330502600
 0 0 4 0 0.0330502600
 0 0 0 4 0.0330502600
 4 0 1 1 -0.2758521191
 0 4 1 1 -0.2758521191
 4 0 1 1 -0.2758521191
 0 4 1 1 -0.2758521191
 1 1 4 0 -0.2758521191
 1 1 0 4 -0.2758521191
 1 1 4 0 -0.2758521191
 1 1 0 4 -0.2758521191
 4 0 2 0 -0.2845016869
 0 4 2 0 -0.2845016869
 4 0 0 2 -0.2845016869
 0 4 0 2 -0.2845016869
 2 0 4 0 -0.2845016869
 2 0 0 4 -0.2845016869
 0 2 4 0 -0.2845016869
 0 2 0 4 -0.2845016869
 4 0 2 2 0.0501282155
 0 4 2 2 0.0501282155
 4 0 2 2 0.0501282155
 0 4 2 2 0.0501282155
 2 2 4 0 0.0501282155
 2 2 0 4 0.0501282155
 2 2 4 0 0.0501282155
 2 2 0 4 0.0501282155
 4 0 3 1 -0.0152703643
 0 4 3 1 -0.0152703643
 4 0 1 3 -0.0152703643
 0 4 1 3 -0.0152703643
 3 1 4 0 -0.0152703643
 3 1 0 4 -0.0152703643
 1 3 4 0 -0.0152703643
 1 3 0 4 -0.0152703643
 4 0 3 3 -0.0290642329
 0 4 3 3 -0.0290642329
 4 0 3 3 -0.0290642329
 0 4 3 3 -0.0290642329
 3 3 4 0 -0.0290642329
 3 3 0 4 -0.0290642329
 3 3 4 0 -0.0290642329
 3 3 0 4 -0.0290642329
 4 0 4 0 0.5142199914
 0 4 4 0 0.5142199914
 4 0 0 4 0.5142199914
 0 4 0 4 0.5142199914
 4 1 1 0 -0.4835477532
 1 4 1 0 -0.4835477532
 4 1 0 1 -0.4835477532
 1 4 0 1 -0.4835477532
 1 0 4 1 -0.4835477532
 1 0 1 4 -0.4835477532
 0 1 4 1 -0.4835477532
 0 1 1 4 -0.4835477532
 4 1 2 1 -0.0426046032
 1 4 2 1 -0.0426046032
 4 1 1 2 -0.0426046032
 1 4 1 2 -0.0426046032
 2 1 4 1 -0.0426046032
 2 1 1 4 -0.0426046032
 1 2 4 1 -0.0426046032
 1 2 1 4 -0.0426046032
 4 1 3 0 -0.3900399406
 1 4 3 0 -0.3900399406
 4 1 0 3 -0.3900399406
 1 4 0 3 -0.3900399406
 3 0 4 1 -0.3900399406
 3 0 1 4 -0.3900399406
 0 3 4 1 -0.3900399406
 0 3 1 4 -0.3900399406
 4 1 3 2 0.1444178131
 1 4 3 2 0.1444178131
 4 1 2 3 0.1444178131
 1 4 2 3 0.1444178131
 3 2 4 1 0.1444178131
 3 2 1 4 0.1444178131
 2 3 4 1 0.1444178131
 2 3 1 4 0.1444178131
 4 1 4 1 0.5177286776
 1 4 4 1 0.5177286776
 4 1 1 4 0.5177286776
 1 4 1 4 0.5177286776
 4 2 0 0 -0.7683900975
 2 4 0 0 -0.7683900975
 4 2 0 0 -0.7683900975
 2 4 0 0 -0.7683900975
 0 0 4 2 -0.7683900975
 0 0 2 4 -0.7683900975
 0 0 4 2 -0.7683900975
 0 0 2 4 -0.7683900975
 4 2 1 1 -0.1271515299
 2 4 1 1 -0.1271515299
 4 2 1 1 -0.1271515299
 2 4 1 1 -0.1271515299
 1 1 4 2 -0.1271515299
 1 1 2 4 -0.1271515299
 1 1 4 2 -0.1271515299
 1 1 2 4 -0.1271515299
 4 2 2 0 0.6148273759
 2 4 2 0 0.6148273759
 4 2 0 2 0.6148273759
 2 4 0 2 0.6148273759
 2 0 4 2 0.6148273759
 2 0 2 4 0.6148273759
 0 2 4 2 0.6148273759
 0 2 2 4 0.6148273759
 4 2 2 2 -0.1052977917
 2 4 2 2 -0.1052977917
 4 2 2 2 -0.1052977917
 2 4 2 2 -0.1052977917
 2 2 4 2 -0.1052977917
 2 2 2 4 -0.1052977917
 2 2 4 2 -0.1052977917
 2 2 2 4 -0.1052977917
 4 2 3 1 -0.5683547636
 2 4 3 1 -0.5683547636
 4 2 1 3 -0.5683547636
 2 4 1 3 -0.5683547636
 3 1 4 2 -0.5683547636
 3 1 2 4 -0.5683547636
 1 3 4 2 -0.5683547636
 1 3 2 4 -0.5683547636
 4 2 3 3 -0.3788990796
 2 4 3 3 -0.3788990796
 4 2 3 3 -0.3788990796
 2 4 3 3 -0.3788990796
 3 3 4 2 -0.3788990796
 3 3 2 4 -0.3788990796
 3 3 4 2 -0.3788990796
 3 3 2 4 -0.3788990796
 4 2 4 0 -0.1311563884
 2 4 4 0 -0.1311563884
 4 2 0 4 -0.1311563884
 2 4 0 4 -0.1311563884
 4 0 4 2 -0.1311563884
 4 0 2 4 -0.1311563884
 0 4 4 2 -0.1311563884
 0 4 2 4 -0.1311563884
 4 2 4 2 0.6322254951
 2 4 4 2 0.6322254951
 4 2 2 4 0.6322254951
 2 4 2 4 0.6322254951
 4 3 1 0 -0.8647042991
 3 4 1 0 -0.8647042991
 4 3 0 1 -0.8647042991
 3 4 0 1 -0.8647042991
 1 0 4 3 -0.8647042991
 1 0 3 4 -0.8647042991
 0 1 4 3 -0.8647042991
 0 1 3 4 -0.8647042991
 4 3 2 1 -0.7618620980
 3 4 2 1 -0.7618620980
 4 3 1 2 -0.7618620980
 3 4 1 2 -0.7618620980
 2 1 4 3 -0.7618620980
 2 1 3 4 -0.7618620980
 1 2 4 3 -0.7618620980
 1 2 3 4 -0.7618620980
 4 3 3 0 -0.1001930408
 3 4 3 0 -0.1001930408
 4 3 0 3 -0.1001930408
 3 4 0 3 -0.1001930408
 3 0 4 3 -0.1001930408
 3 0 3 4 -0.1001930408
 0 3 4 3 -0.1001930408
 0 3 3 4 -0.1001930408
 4 3 3 2 0.7952793089
 3 4 3 2 0.7952793089
 4 3 2 3 0.7952793089
 3 4 2 3 0.7952793089
 3 2 4 3 0.7952793089
 3 2 3 4 0.7952793089
 2 3 4 3 0.7952793089
 2 3 3 4 0.7952793089
 4 3 4 1 0.1914719784
 3 4 4 1 0.1914719784
 4 3 1 4 0.1914719784
 3 4 1 4 0.1914719784
 4 1 4 3 0.1914719784
 4 1 3 4 0.1914719784
 1 4 4 3 0.1914719784
 1 4 3 4 0.1914719784
 4 3 4 3 0.7975360189
 3 4 4 3 0.7975360189
 4 3 3 4 0.7975360189
 3 4 3 4 0.7975360189
 4 4 0 0 5.7220971952
 0 0 4 4 5.7220971952
 4 4 1 1 5.1719075809
 1 1 4 4 5.1719075809
 4 4 2 0 -0.5402043445
 4 4 2 0 -0.5402043445
 4 4 0 2 -0.5402043445
 4 4 0 2 -0.5402043445
 2 0 4 4 -0.5402043445
 2 0 4 4 -0.5402043445
 0 2 4 4 -0.5402043445
 0 2 4 4 -0.5402043445
 4 4 2 2 5.0677317259
 2 2 4 4 5.0677317259
