 ****  Molecular Integrals For CheMPS Start Here 
 Symmetry Label = ci 
 Nirreps = 2 
 Nuclear Repulsion Energy = 125.7780076248893124 
 Number Of Molecular Orbitals = 8 
 Irreps Of Molecular Orbitals = 
 0 1 0 1 0 1 0 1 0 1 0 1 0 1 
 ...
 ...
 ****  MO OEI
 5 5 1 3 -0.0547325549
 5 5 1 3 -0.0547325549
 3 1 5 5 -0.0547325549
 3 1 5 5 -0.0547325549
 1 3 5 5 -0.0547325549
 1 3 5 5 -0.0547325549
 5 5 3 3 5.0677317259
 3 3 5 5 5.0677317259
 5 5 4 0 0.0501282155
 5 5 4 0 0.0501282155
 5 5 0 4 0.0501282155
 5 5 0 4 0.0501282155
 4 0 5 5 0.0501282155
 4 0 5 5 0.0501282155
 0 4 5 5 0.0501282155
 0 4 5 5 0.0501282155
 5 5 4 2 -0.1052977917
 5 5 4 2 -0.1052977917
 5 5 2 4 -0.1052977917
 5 5 2 4 -0.1052977917
 4 2 5 5 -0.1052977917
 4 2 5 5 -0.1052977917
 2 4 5 5 -0.1052977917
 2 4 5 5 -0.1052977917
 5 5 4 4 5.0677317259
 4 4 5 5 5.0677317259
 5 5 5 1 0.0818399555
 5 5 5 1 0.0818399555
 5 5 1 5 0.0818399555
 5 5 1 5 0.0818399555
 5 1 5 5 0.0818399555
 5 1 5 5 0.0818399555
 1 5 5 5 0.0818399555
 1 5 5 5 0.0818399555
 5 5 5 3 -0.1052977917
 5 5 5 3 -0.1052977917
 5 5 3 5 -0.1052977917
 5 5 3 5 -0.1052977917
 5 3 5 5 -0.1052977917
 5 3 5 5 -0.1052977917
 3 5 5 5 -0.1052977917
 3 5 5 5 -0.1052977917
 5 5 5 5 5.1647233392
 6 0 0 0 0.0979467557
 0 6 0 0 0.0979467557
 6 0 0 0 0.0979467557
 0 6 0 0 0.0979467557
 0 0 6 0 0.0979467557
 0 0 0 6 0.0979467557
 0 0 6 0 0.0979467557
 0 0 0 6 0.0979467557
 6 0 1 1 0.0490486405
 0 6 1 1 0.0490486405
 6 0 1 1 0.0490486405
 0 6 1 1 0.0490486405
 1 1 6 0 0.0490486405
 1 1 0 6 0.0490486405
 1 1 6 0 0.0490486405
 1 1 0 6 0.0490486405
 6 0 2 0 -0.0331863162
 0 6 2 0 -0.0331863162
 6 0 0 2 -0.0331863162
 0 6 0 2 -0.0331863162
 2 0 6 0 -0.0331863162
 2 0 0 6 -0.0331863162
 0 2 6 0 -0.0331863162
 0 2 0 6 -0.0331863162
 6 0 2 2 0.1350709136
 0 6 2 2 0.1350709136
 6 0 2 2 0.1350709136
 0 6 2 2 0.1350709136
 2 2 6 0 0.1350709136
 2 2 0 6 0.1350709136
 2 2 6 0 0.1350709136
 2 2 0 6 0.1350709136
 6 0 3 1 -0.0666470269
 0 6 3 1 -0.0666470269
 6 0 1 3 -0.0666470269
 0 6 1 3 -0.0666470269
 3 1 6 0 -0.0666470269
 3 1 0 6 -0.0666470269
 1 3 6 0 -0.0666470269
 1 3 0 6 -0.0666470269
 6 0 3 3 -0.0277312493
 0 6 3 3 -0.0277312493
 6 0 3 3 -0.0277312493
 0 6 3 3 -0.0277312493
 3 3 6 0 -0.0277312493
 3 3 0 6 -0.0277312493
 3 3 6 0 -0.0277312493
 3 3 0 6 -0.0277312493
 6 0 4 0 0.1572658202
 0 6 4 0 0.1572658202
 6 0 0 4 0.1572658202
 0 6 0 4 0.1572658202
 4 0 6 0 0.1572658202
 4 0 0 6 0.1572658202
 0 4 6 0 0.1572658202
 0 4 0 6 0.1572658202
 6 0 4 2 -0.2307669598
 0 6 4 2 -0.2307669598
 6 0 2 4 -0.2307669598
 0 6 2 4 -0.2307669598
 4 2 6 0 -0.2307669598
 4 2 0 6 -0.2307669598
 2 4 6 0 -0.2307669598
 2 4 0 6 -0.2307669598
 6 0 4 4 -0.0277312493
 0 6 4 4 -0.0277312493
 6 0 4 4 -0.0277312493
 0 6 4 4 -0.0277312493
 4 4 6 0 -0.0277312493
 4 4 0 6 -0.0277312493
 4 4 6 0 -0.0277312493
 4 4 0 6 -0.0277312493
 6 0 5 1 0.1078899309
 0 6 5 1 0.1078899309
 6 0 1 5 0.1078899309
 0 6 1 5 0.1078899309
 5 1 6 0 0.1078899309
 5 1 0 6 0.1078899309
 1 5 6 0 0.1078899309
 1 5 0 6 0.1078899309
 6 0 5 3 -0.2307669598
 0 6 5 3 -0.2307669598
 6 0 3 5 -0.2307669598
 0 6 3 5 -0.2307669598
 5 3 6 0 -0.2307669598
 5 3 0 6 -0.2307669598
 3 5 6 0 -0.2307669598
 3 5 0 6 -0.2307669598
 6 0 5 5 0.1350709136
 0 6 5 5 0.1350709136
 6 0 5 5 0.1350709136
 0 6 5 5 0.1350709136
 5 5 6 0 0.1350709136
 5 5 0 6 0.1350709136
 5 5 6 0 0.1350709136
 5 5 0 6 0.1350709136
 6 0 6 0 0.2644313696
 0 6 6 0 0.2644313696
 6 0 0 6 0.2644313696
 0 6 0 6 0.2644313696
 6 1 1 0 -0.0035454449
 1 6 1 0 -0.0035454449
 6 1 0 1 -0.0035454449
 1 6 0 1 -0.0035454449
 1 0 6 1 -0.0035454449
 1 0 1 6 -0.0035454449
 0 1 6 1 -0.0035454449
 0 1 1 6 -0.0035454449
 6 1 2 1 0.1143920795
 1 6 2 1 0.1143920795
 6 1 1 2 0.1143920795
 1 6 1 2 0.1143920795
 2 1 6 1 0.1143920795
 2 1 1 6 0.1143920795
 1 2 6 1 0.1143920795
 1 2 1 6 0.1143920795
 6 1 3 0 -0.1324292471
 1 6 3 0 -0.1324292471
 6 1 0 3 -0.1324292471
 1 6 0 3 -0.1324292471
 3 0 6 1 -0.1324292471
 3 0 1 6 -0.1324292471
 0 3 6 1 -0.1324292471
 0 3 1 6 -0.1324292471
 6 1 3 2 0.0548501900
 1 6 3 2 0.0548501900
 6 1 2 3 0.0548501900
 1 6 2 3 0.0548501900
 3 2 6 1 0.0548501900
 3 2 1 6 0.0548501900
 2 3 6 1 0.0548501900
 2 3 1 6 0.0548501900
 6 1 4 1 -0.0847201203
 1 6 4 1 -0.0847201203
 6 1 1 4 -0.0847201203
 1 6 1 4 -0.0847201203
 4 1 6 1 -0.0847201203
 4 1 1 6 -0.0847201203
 1 4 6 1 -0.0847201203
 1 4 1 6 -0.0847201203
 6 1 4 3 0.2846027895
 1 6 4 3 0.2846027895
 6 1 3 4 0.2846027895
 1 6 3 4 0.2846027895
 4 3 6 1 0.2846027895
 4 3 1 6 0.2846027895
 3 4 6 1 0.2846027895
 3 4 1 6 0.2846027895
 6 1 5 0 0.1558998170
 1 6 5 0 0.1558998170
 6 1 0 5 0.1558998170
 1 6 0 5 0.1558998170
 5 0 6 1 0.1558998170
 5 0 1 6 0.1558998170
 0 5 6 1 0.1558998170
 0 5 1 6 0.1558998170
 6 1 5 2 0.3396786985
 1 6 5 2 0.3396786985
 6 1 2 5 0.3396786985
 1 6 2 5 0.3396786985
 5 2 6 1 0.3396786985
 5 2 1 6 0.3396786985
 2 5 6 1 0.3396786985
 2 5 1 6 0.3396786985
 6 1 5 4 0.0548501900
 1 6 5 4 0.0548501900
 6 1 4 5 0.0548501900
 1 6 4 5 0.0548501900
 5 4 6 1 0.0548501900
 5 4 1 6 0.0548501900
 4 5 6 1 0.0548501900
 4 5 1 6 0.0548501900
 6 1 6 1 0.4143906610
 1 6 6 1 0.4143906610
 6 1 1 6 0.4143906610
 1 6 1 6 0.4143906610
 6 2 0 0 0.2008646285
 2 6 0 0 0.2008646285
 6 2 0 0 0.2008646285
 2 6 0 0 0.2008646285
 0 0 6 2 0.2008646285
 0 0 2 6 0.2008646285
 0 0 6 2 0.2008646285
 0 0 2 6 0.2008646285
 6 2 1 1 0.3322113332
 2 6 1 1 0.3322113332
 6 2 1 1 0.3322113332
 2 6 1 1 0.3322113332
 1 1 6 2 0.3322113332
 1 1 2 6 0.3322113332
 1 1 6 2 0.3322113332
 1 1 2 6 0.3322113332
 6 2 2 0 0.1257172105
 2 6 2 0 0.1257172105
 6 2 0 2 0.1257172105
 2 6 0 2 0.1257172105
 2 0 6 2 0.1257172105
 2 0 2 6 0.1257172105
 0 2 6 2 0.1257172105
 0 2 2 6 0.1257172105
 6 2 2 2 0.0818399555
 2 6 2 2 0.0818399555
 6 2 2 2 0.0818399555
 2 6 2 2 0.0818399555
 2 2 6 2 0.0818399555
 2 2 2 6 0.0818399555
 2 2 6 2 0.0818399555
 2 2 2 6 0.0818399555
 6 2 3 1 0.0744418242
 2 6 3 1 0.0744418242
 6 2 1 3 0.0744418242
 2 6 1 3 0.0744418242
 3 1 6 2 0.0744418242
 3 1 2 6 0.0744418242
 1 3 6 2 0.0744418242
 1 3 2 6 0.0744418242
 6 2 3 3 0.0814290902
 2 6 3 3 0.0814290902
 6 2 3 3 0.0814290902
 2 6 3 3 0.0814290902
 3 3 6 2 0.0814290902
 3 3 2 6 0.0814290902
 3 3 6 2 0.0814290902
 3 3 2 6 0.0814290902
 6 2 4 0 -0.3443853878
 2 6 4 0 -0.3443853878
 6 2 0 4 -0.3443853878
 2 6 0 4 -0.3443853878
 4 0 6 2 -0.3443853878
 4 0 2 6 -0.3443853878
 0 4 6 2 -0.3443853878
 0 4 2 6 -0.3443853878
 6 2 4 2 -0.1861647198
 2 6 4 2 -0.1861647198
 6 2 2 4 -0.1861647198
 2 6 2 4 -0.1861647198
 4 2 6 2 -0.1861647198
 4 2 2 6 -0.1861647198
 2 4 6 2 -0.1861647198
 2 4 2 6 -0.1861647198
 6 2 4 4 0.0814290902
 2 6 4 4 0.0814290902
 6 2 4 4 0.0814290902
 2 6 4 4 0.0814290902
 4 4 6 2 0.0814290902
 4 4 2 6 0.0814290902
 4 4 6 2 0.0814290902
 4 4 2 6 0.0814290902
 6 2 5 1 0.4579922149
 2 6 5 1 0.4579922149
 6 2 1 5 0.4579922149
 2 6 1 5 0.4579922149
 5 1 6 2 0.4579922149
 5 1 2 6 0.4579922149
 1 5 6 2 0.4579922149
 1 5 2 6 0.4579922149
 6 2 5 3 -0.1861647198
 2 6 5 3 -0.1861647198
 6 2 3 5 -0.1861647198
 2 6 3 5 -0.1861647198
 5 3 6 2 -0.1861647198
 5 3 2 6 -0.1861647198
 3 5 6 2 -0.1861647198
 3 5 2 6 -0.1861647198
 6 2 5 5 0.0818399555
 2 6 5 5 0.0818399555
 6 2 5 5 0.0818399555
 2 6 5 5 0.0818399555
 5 5 6 2 0.0818399555
 5 5 2 6 0.0818399555
 5 5 6 2 0.0818399555
 5 5 2 6 0.0818399555
 6 2 6 0 0.1078899309
 2 6 6 0 0.1078899309
 6 2 0 6 0.1078899309
 2 6 0 6 0.1078899309
 6 0 6 2 0.1078899309
 6 0 2 6 0.1078899309
 0 6 6 2 0.1078899309
 0 6 2 6 0.1078899309
 6 2 6 2 0.4579922149
 2 6 6 2 0.4579922149
 6 2 2 6 0.4579922149
 2 6 2 6 0.4579922149
 6 3 1 0 -0.4835477532
 3 6 1 0 -0.4835477532
 6 3 0 1 -0.4835477532
 3 6 0 1 -0.4835477532
 1 0 6 3 -0.4835477532
 1 0 3 6 -0.4835477532
 0 1 6 3 -0.4835477532
 0 1 3 6 -0.4835477532
 6 3 2 1 -0.0426046032
 3 6 2 1 -0.0426046032
 6 3 1 2 -0.0426046032
 3 6 1 2 -0.0426046032
 2 1 6 3 -0.0426046032
 2 1 3 6 -0.0426046032
 1 2 6 3 -0.0426046032
 1 2 3 6 -0.0426046032
 6 3 3 0 -0.3900399406
 3 6 3 0 -0.3900399406
 6 3 0 3 -0.3900399406
 3 6 0 3 -0.3900399406
 3 0 6 3 -0.3900399406
 3 0 3 6 -0.3900399406
 0 3 6 3 -0.3900399406
 0 3 3 6 -0.3900399406
 6 3 3 2 0.1444178131
 3 6 3 2 0.1444178131
 6 3 2 3 0.1444178131
 3 6 2 3 0.1444178131
 3 2 6 3 0.1444178131
 3 2 3 6 0.1444178131
 2 3 6 3 0.1444178131
 2 3 3 6 0.1444178131
 6 3 4 1 0.5177286776
 3 6 4 1 0.5177286776
 6 3 1 4 0.5177286776
 3 6 1 4 0.5177286776
 4 1 6 3 0.5177286776
 4 1 3 6 0.5177286776
 1 4 6 3 0.5177286776
 1 4 3 6 0.5177286776
 6 3 4 3 0.1914719784
 3 6 4 3 0.1914719784
 6 3 3 4 0.1914719784
 3 6 3 4 0.1914719784
 4 3 6 3 0.1914719784
 4 3 3 6 0.1914719784
 3 4 6 3 0.1914719784
 3 4 3 6 0.1914719784
 6 3 5 0 -0.2527960605
 3 6 5 0 -0.2527960605
 6 3 0 5 -0.2527960605
 3 6 0 5 -0.2527960605
 5 0 6 3 -0.2527960605
 5 0 3 6 -0.2527960605
 0 5 6 3 -0.2527960605
 0 5 3 6 -0.2527960605
 6 3 5 2 -0.3685299481
 3 6 5 2 -0.3685299481
 6 3 2 5 -0.3685299481
 3 6 2 5 -0.3685299481
 5 2 6 3 -0.3685299481
 5 2 3 6 -0.3685299481
 2 5 6 3 -0.3685299481
 2 5 3 6 -0.3685299481
 6 3 5 4 0.1444178131
 3 6 5 4 0.1444178131
 6 3 4 5 0.1444178131
 3 6 4 5 0.1444178131
 5 4 6 3 0.1444178131
 5 4 3 6 0.1444178131
 4 5 6 3 0.1444178131
 4 5 3 6 0.1444178131
 6 3 6 1 -0.0847201203
 3 6 6 1 -0.0847201203
 6 3 1 6 -0.0847201203
 3 6 1 6 -0.0847201203
 6 1 6 3 -0.0847201203
 6 1 3 6 -0.0847201203
 1 6 6 3 -0.0847201203
 1 6 3 6 -0.0847201203
 6 3 6 3 0.5177286776
 3 6 6 3 0.5177286776
 6 3 3 6 0.5177286776
 3 6 3 6 0.5177286776
 6 4 0 0 0.9671670109
 4 6 0 0 0.9671670109
 6 4 0 0 0.9671670109
 4 6 0 0 0.9671670109
 0 0 6 4 0.9671670109
 0 0 4 6 0.9671670109
 0 0 6 4 0.9671670109
 0 0 4 6 0.9671670109
 6 4 1 1 0.0862971336
 4 6 1 1 0.0862971336
 6 4 1 1 0.0862971336
 4 6 1 1 0.0862971336
 1 1 6 4 0.0862971336
 1 1 4 6 0.0862971336
 1 1 6 4 0.0862971336
 1 1 4 6 0.0862971336
 6 4 2 0 -0.8651588780
 4 6 2 0 -0.8651588780
 6 4 0 2 -0.8651588780
 4 6 0 2 -0.8651588780
 2 0 6 4 -0.8651588780
 2 0 4 6 -0.8651588780
 0 2 6 4 -0.8651588780
 0 2 4 6 -0.8651588780
 6 4 2 2 -0.0547325549
 4 6 2 2 -0.0547325549
 6 4 2 2 -0.0547325549
 4 6 2 2 -0.0547325549
 2 2 6 4 -0.0547325549
 2 2 4 6 -0.0547325549
 2 2 6 4 -0.0547325549
 2 2 4 6 -0.0547325549
 6 4 3 1 0.9304932542
 4 6 3 1 0.9304932542
 6 4 1 3 0.9304932542
 4 6 1 3 0.9304932542
 3 1 6 4 0.9304932542
 3 1 4 6 0.9304932542
 1 3 6 4 0.9304932542
 1 3 4 6 0.9304932542
 6 4 3 3 0.5926282379
 4 6 3 3 0.5926282379
 6 4 3 3 0.5926282379
 4 6 3 3 0.5926282379
 3 3 6 4 0.5926282379
 3 3 4 6 0.5926282379
 3 3 6 4 0.5926282379
 3 3 4 6 0.5926282379
 6 4 4 0 -0.0152703643
 4 6 4 0 -0.0152703643
 6 4 0 4 -0.0152703643
 4 6 0 4 -0.0152703643
 4 0 6 4 -0.0152703643
 4 0 4 6 -0.0152703643
 0 4 6 4 -0.0152703643
 0 4 4 6 -0.0152703643
 6 4 4 2 -0.5683547636
 4 6 4 2 -0.5683547636
 6 4 2 4 -0.5683547636
 4 6 2 4 -0.5683547636
 4 2 6 4 -0.5683547636
 4 2 4 6 -0.5683547636
 2 4 6 4 -0.5683547636
 2 4 4 6 -0.5683547636
 6 4 4 4 0.5926282379
 4 6 4 4 0.5926282379
 6 4 4 4 0.5926282379
 4 6 4 4 0.5926282379
 4 4 6 4 0.5926282379
 4 4 4 6 0.5926282379
 4 4 6 4 0.5926282379
 4 4 4 6 0.5926282379
 6 4 5 1 0.0744418242
 4 6 5 1 0.0744418242
 6 4 1 5 0.0744418242
 4 6 1 5 0.0744418242
 5 1 6 4 0.0744418242
 5 1 4 6 0.0744418242
 1 5 6 4 0.0744418242
 1 5 4 6 0.0744418242
 6 4 5 3 -0.5683547636
 4 6 5 3 -0.5683547636
 6 4 3 5 -0.5683547636
 4 6 3 5 -0.5683547636
 5 3 6 4 -0.5683547636
 5 3 4 6 -0.5683547636
 3 5 6 4 -0.5683547636
 3 5 4 6 -0.5683547636
 6 4 5 5 -0.0547325549
 4 6 5 5 -0.0547325549
 6 4 5 5 -0.0547325549
 4 6 5 5 -0.0547325549
 5 5 6 4 -0.0547325549
 5 5 4 6 -0.0547325549
 5 5 6 4 -0.0547325549
 5 5 4 6 -0.0547325549
 6 4 6 0 -0.0666470269
 4 6 6 0 -0.0666470269
 6 4 0 6 -0.0666470269
 4 6 0 6 -0.0666470269
 6 0 6 4 -0.0666470269
 6 0 4 6 -0.0666470269
 0 6 6 4 -0.0666470269
 0 6 4 6 -0.0666470269
 6 4 6 2 0.0744418242
 4 6 6 2 0.0744418242
 6 4 2 6 0.0744418242
 4 6 2 6 0.0744418242
 6 2 6 4 0.0744418242
 6 2 4 6 0.0744418242
 2 6 6 4 0.0744418242
 2 6 4 6 0.0744418242
 6 4 6 4 0.9304932542
 4 6 6 4 0.9304932542
 6 4 4 6 0.9304932542
 4 6 4 6 0.9304932542
 6 5 1 0 1.1872904552
 5 6 1 0 1.1872904552
 6 5 0 1 1.1872904552
 5 6 0 1 1.1872904552
 1 0 6 5 1.1872904552
 1 0 5 6 1.1872904552
 0 1 6 5 1.1872904552
 0 1 5 6 1.1872904552
 6 5 2 1 1.4964402253
 5 6 2 1 1.4964402253
 6 5 1 2 1.4964402253
 5 6 1 2 1.4964402253
 2 1 6 5 1.4964402253
 2 1 5 6 1.4964402253
 1 2 6 5 1.4964402253
 1 2 5 6 1.4964402253
 6 5 3 0 -0.2914967443
 5 6 3 0 -0.2914967443
 6 5 0 3 -0.2914967443
 5 6 0 3 -0.2914967443
 3 0 6 5 -0.2914967443
 3 0 5 6 -0.2914967443
 0 3 6 5 -0.2914967443
 0 3 5 6 -0.2914967443
 6 5 3 2 -1.2666282075
 5 6 3 2 -1.2666282075
 6 5 2 3 -1.2666282075
 5 6 2 3 -1.2666282075
 3 2 6 5 -1.2666282075
 3 2 5 6 -1.2666282075
 2 3 6 5 -1.2666282075
 2 3 5 6 -1.2666282075
 6 5 4 1 -0.0426046032
 5 6 4 1 -0.0426046032
 6 5 1 4 -0.0426046032
 5 6 1 4 -0.0426046032
 4 1 6 5 -0.0426046032
 4 1 5 6 -0.0426046032
 1 4 6 5 -0.0426046032
 1 4 5 6 -0.0426046032
 6 5 4 3 -0.7618620980
 5 6 4 3 -0.7618620980
 6 5 3 4 -0.7618620980
 5 6 3 4 -0.7618620980
 4 3 6 5 -0.7618620980
 4 3 5 6 -0.7618620980
 3 4 6 5 -0.7618620980
 3 4 5 6 -0.7618620980
 6 5 5 0 0.1830765583
 5 6 5 0 0.1830765583
 6 5 0 5 0.1830765583
 5 6 0 5 0.1830765583
 5 0 6 5 0.1830765583
 5 0 5 6 0.1830765583
 0 5 6 5 0.1830765583
 0 5 5 6 0.1830765583
 6 5 5 2 -0.1976950719
 5 6 5 2 -0.1976950719
 6 5 2 5 -0.1976950719
 5 6 2 5 -0.1976950719
 5 2 6 5 -0.1976950719
 5 2 5 6 -0.1976950719
 2 5 6 5 -0.1976950719
 2 5 5 6 -0.1976950719
 6 5 5 4 -1.2666282075
 5 6 5 4 -1.2666282075
 6 5 4 5 -1.2666282075
 5 6 4 5 -1.2666282075
 5 4 6 5 -1.2666282075
 5 4 5 6 -1.2666282075
 4 5 6 5 -1.2666282075
 4 5 5 6 -1.2666282075
 6 5 6 1 0.1143920795
 5 6 6 1 0.1143920795
 6 5 1 6 0.1143920795
 5 6 1 6 0.1143920795
 6 1 6 5 0.1143920795
 6 1 5 6 0.1143920795
 1 6 6 5 0.1143920795
 1 6 5 6 0.1143920795
 6 5 6 3 -0.0426046032
 5 6 6 3 -0.0426046032
 6 5 3 6 -0.0426046032
 5 6 3 6 -0.0426046032
 6 3 6 5 -0.0426046032
 6 3 5 6 -0.0426046032
 3 6 6 5 -0.0426046032
 3 6 5 6 -0.0426046032
 6 5 6 5 1.4964402253
 5 6 6 5 1.4964402253
 6 5 5 6 1.4964402253
 5 6 5 6 1.4964402253
 6 6 0 0 5.2562671101
 0 0 6 6 5.2562671101
 6 6 1 1 5.3382573018
 1 1 6 6 5.3382573018
 6 6 2 0 0.0763848880
 6 6 2 0 0.0763848880
 6 6 0 2 0.0763848880
 6 6 0 2 0.0763848880
 2 0 6 6 0.0763848880
 2 0 6 6 0.0763848880
 0 2 6 6 0.0763848880
 0 2 6 6 0.0763848880
 6 6 2 2 5.1377054189
 2 2 6 6 5.1377054189
 6 6 3 1 0.0862971336
 6 6 3 1 0.0862971336
 6 6 1 3 0.0862971336
 6 6 1 3 0.0862971336
 3 1 6 6 0.0862971336
 3 1 6 6 0.0862971336
 1 3 6 6 0.0862971336
 1 3 6 6 0.0862971336
 6 6 3 3 5.1719075809
 3 3 6 6 5.1719075809
 6 6 4 0 -0.2758521191
 6 6 4 0 -0.2758521191
 6 6 0 4 -0.2758521191
 6 6 0 4 -0.2758521191
 4 0 6 6 -0.2758521191
 4 0 6 6 -0.2758521191
 0 4 6 6 -0.2758521191
 0 4 6 6 -0.2758521191
 6 6 4 2 -0.1271515299
 6 6 4 2 -0.1271515299
 6 6 2 4 -0.1271515299
 6 6 2 4 -0.1271515299
 4 2 6 6 -0.1271515299
 4 2 6 6 -0.1271515299
 2 4 6 6 -0.1271515299
 2 4 6 6 -0.1271515299
 6 6 4 4 5.1719075809
 4 4 6 6 5.1719075809
 6 6 5 1 0.3322113332
 6 6 5 1 0.3322113332
 6 6 1 5 0.3322113332
 6 6 1 5 0.3322113332
 5 1 6 6 0.3322113332
 5 1 6 6 0.3322113332
 1 5 6 6 0.3322113332
 1 5 6 6 0.3322113332
 6 6 5 3 -0.1271515299
 6 6 5 3 -0.1271515299
 6 6 3 5 -0.1271515299
 6 6 3 5 -0.1271515299
 5 3 6 6 -0.1271515299
 5 3 6 6 -0.1271515299
 3 5 6 6 -0.1271515299
 3 5 6 6 -0.1271515299
 6 6 5 5 5.1377054189
 5 5 6 6 5.1377054189
 6 6 6 0 0.0490486405
 6 6 6 0 0.0490486405
 6 6 0 6 0.0490486405
 6 6 0 6 0.0490486405
 6 0 6 6 0.0490486405
 6 0 6 6 0.0490486405
 0 6 6 6 0.0490486405
 0 6 6 6 0.0490486405
 6 6 6 2 0.3322113332
 6 6 6 2 0.3322113332
 6 6 2 6 0.3322113332
 6 6 2 6 0.3322113332
 6 2 6 6 0.3322113332
 6 2 6 6 0.3322113332
 2 6 6 6 0.3322113332
 2 6 6 6 0.3322113332
 6 6 6 4 0.0862971336
 6 6 6 4 0.0862971336
 6 6 4 6 0.0862971336
 6 6 4 6 0.0862971336
 6 4 6 6 0.0862971336
 6 4 6 6 0.0862971336
 4 6 6 6 0.0862971336
 4 6 6 6 0.0862971336
 6 6 6 6 5.3382573018
 7 0 1 0 0.0469334152
 0 7 1 0 0.0469334152
 7 0 0 1 0.0469334152
 0 7 0 1 0.0469334152
 1 0 7 0 0.0469334152
 1 0 0 7 0.0469334152
 0 1 7 0 0.0469334152
 0 1 0 7 0.0469334152
 7 0 2 1 0.0273642845
 0 7 2 1 0.0273642845
 7 0 1 2 0.0273642845
 0 7 1 2 0.0273642845
 2 1 7 0 0.0273642845
 2 1 0 7 0.0273642845
 1 2 7 0 0.0273642845
 1 2 0 7 0.0273642845
 7 0 3 0 0.0009878325
 0 7 3 0 0.0009878325
 7 0 0 3 0.0009878325
 0 7 0 3 0.0009878325
 3 0 7 0 0.0009878325
 3 0 0 7 0.0009878325
 0 3 7 0 0.0009878325
 0 3 0 7 0.0009878325
 7 0 3 2 0.0483713514
 0 7 3 2 0.0483713514
 7 0 2 3 0.0483713514
 0 7 2 3 0.0483713514
 3 2 7 0 0.0483713514
 3 2 0 7 0.0483713514
 2 3 7 0 0.0483713514
 2 3 0 7 0.0483713514
 7 0 4 1 -0.1439573183
 0 7 4 1 -0.1439573183
 7 0 1 4 -0.1439573183
 0 7 1 4 -0.1439573183
 4 1 7 0 -0.1439573183
 4 1 0 7 -0.1439573183
 1 4 7 0 -0.1439573183
 1 4 0 7 -0.1439573183
 7 0 4 3 -0.3516259401
 0 7 4 3 -0.3516259401
 7 0 3 4 -0.3516259401
 0 7 3 4 -0.3516259401
 4 3 7 0 -0.3516259401
 4 3 0 7 -0.3516259401
 3 4 7 0 -0.3516259401
 3 4 0 7 -0.3516259401
 7 0 5 0 0.1338816046
 0 7 5 0 0.1338816046
 7 0 0 5 0.1338816046
 0 7 0 5 0.1338816046
 5 0 7 0 0.1338816046
 5 0 0 7 0.1338816046
 0 5 7 0 0.1338816046
 0 5 0 7 0.1338816046
 7 0 5 2 -0.2349687757
 0 7 5 2 -0.2349687757
 7 0 2 5 -0.2349687757
 0 7 2 5 -0.2349687757
 5 2 7 0 -0.2349687757
 5 2 0 7 -0.2349687757
 2 5 7 0 -0.2349687757
 2 5 0 7 -0.2349687757
 7 0 5 4 0.0483713514
 0 7 5 4 0.0483713514
 7 0 4 5 0.0483713514
 0 7 4 5 0.0483713514
 5 4 7 0 0.0483713514
 5 4 0 7 0.0483713514
 4 5 7 0 0.0483713514
 4 5 0 7 0.0483713514
 7 0 6 1 -0.2520073831
 0 7 6 1 -0.2520073831
 7 0 1 6 -0.2520073831
 0 7 1 6 -0.2520073831
 6 1 7 0 -0.2520073831
 6 1 0 7 -0.2520073831
 1 6 7 0 -0.2520073831
 1 6 0 7 -0.2520073831
 7 0 6 3 -0.1439573183
 0 7 6 3 -0.1439573183
 7 0 3 6 -0.1439573183
 0 7 3 6 -0.1439573183
 6 3 7 0 -0.1439573183
 6 3 0 7 -0.1439573183
 3 6 7 0 -0.1439573183
 3 6 0 7 -0.1439573183
 7 0 6 5 0.0273642845
 0 7 6 5 0.0273642845
 7 0 5 6 0.0273642845
 0 7 5 6 0.0273642845
 6 5 7 0 0.0273642845
 6 5 0 7 0.0273642845
 5 6 7 0 0.0273642845
 5 6 0 7 0.0273642845
 7 0 7 0 0.3867545238
 0 7 7 0 0.3867545238
 7 0 0 7 0.3867545238
 0 7 0 7 0.3867545238
 7 1 0 0 -0.0979467557
 1 7 0 0 -0.0979467557
 7 1 0 0 -0.0979467557
 1 7 0 0 -0.0979467557
 0 0 7 1 -0.0979467557
 0 0 1 7 -0.0979467557
 0 0 7 1 -0.0979467557
 0 0 1 7 -0.0979467557
 7 1 1 1 -0.0490486405
 1 7 1 1 -0.0490486405
 7 1 1 1 -0.0490486405
 1 7 1 1 -0.0490486405
 1 1 7 1 -0.0490486405
 1 1 1 7 -0.0490486405
 1 1 7 1 -0.0490486405
 1 1 1 7 -0.0490486405
 7 1 2 0 0.0331863162
 1 7 2 0 0.0331863162
 7 1 0 2 0.0331863162
 1 7 0 2 0.0331863162
 2 0 7 1 0.0331863162
 2 0 1 7 0.0331863162
 0 2 7 1 0.0331863162
 0 2 1 7 0.0331863162
 7 1 2 2 -0.1350709136
 1 7 2 2 -0.1350709136
 7 1 2 2 -0.1350709136
 1 7 2 2 -0.1350709136
 2 2 7 1 -0.1350709136
 2 2 1 7 -0.1350709136
 2 2 7 1 -0.1350709136
 2 2 1 7 -0.1350709136
 7 1 3 1 0.0666470269
 1 7 3 1 0.0666470269
 7 1 1 3 0.0666470269
 1 7 1 3 0.0666470269
 3 1 7 1 0.0666470269
 3 1 1 7 0.0666470269
